player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
170838,Salih Uçan,Beşiktaş Jimnastik Kulübü,2021-22,MF,28,109,0,0,2022-05-28,2022-06-01,3.0
170986,Raphaël Guerreiro,Borussia Dortmund,2021-22,DF,28,182,0,0,2022-05-28,2022-06-09,25.0
171424,Riyad Mahrez,Manchester City,2021-22,FW,31,987,7,2,2022-05-28,2022-06-15,35.0
173859,Davide Zappacosta,Atalanta BC,2021-22,MF,29,406,0,1,2022-05-28,2022-06-07,9.0
174915,Islam Slimani,Sporting CP,2021-22,FW,33,104,0,0,2022-05-28,2022-05-31,1.5
175449,Moi Gómez,Villarreal CF,2021-22,MF,27,224,0,1,2022-05-28,2022-06-03,8.0
176553,Aymeric Laporte,Manchester City,2021-22,DF,28,796,0,0,2022-05-28,2022-06-15,45.0
177467,Gerard Moreno,Villarreal CF,2021-22,FW,30,524,2,3,2022-05-28,2022-06-03,40.0
177476,Nathan Aké,Manchester City,2021-22,DF,27,321,1,0,2022-05-28,2022-06-15,25.0
177907,Harry Maguire,Manchester United,2021-22,DF,29,534,1,0,2022-05-28,2022-06-15,38.0
179184,Michy Batshuayi,Beşiktaş Jimnastik Kulübü,2021-22,FW,28,383,0,0,2022-05-28,2022-06-01,10.0
180337,Sardar Azmoun,AO FK Zenit Sankt-Peterburg,2021-22,FW,27,302,2,0,2022-05-28,2022-06-09,22.0
181375,Sébastien Haller,Ajax Amsterdam,2021-22,FW,27,668,11,2,2022-05-28,2022-06-08,35.0
181767,Marquinhos,Paris Saint-Germain,2021-22,DF,28,720,0,1,2022-05-28,2022-05-30,70.0
182579,Karim Rekik,Sevilla FC,2021-22,DF,27,125,0,0,2022-05-28,2022-06-03,5.0
182618,Tiemoué Bakayoko,AC Milan,2021-22,MF,27,56,0,0,2022-05-28,2022-06-07,10.0
182712,João Cancelo,Manchester City,2021-22,DF,28,840,2,3,2022-05-28,2022-06-15,65.0
182877,Anthony Martial,Manchester United,2021-22,FW,26,67,0,0,2022-05-28,2022-06-03,16.0
182904,Clément Lenglet,FC Barcelona,2021-22,DF,26,345,0,0,2022-05-28,2022-06-03,12.0
182906,Mike Maignan,AC Milan,2021-22,GK,26,270,0,0,2022-05-28,2022-06-07,35.0
182913,Adrien Rabiot,Juventus FC,2021-22,MF,27,537,0,0,2022-05-28,2022-06-07,17.0
182932,Davy Klaassen,Ajax Amsterdam,2021-22,MF,29,230,1,1,2022-05-28,2022-06-08,14.0
183288,Luke Shaw,Manchester United,2021-22,DF,26,397,0,2,2022-05-28,2022-06-15,38.0
183321,Kevin Mbabu,VfL Wolfsburg,2021-22,DF,27,328,0,0,2022-05-28,2022-06-09,9.0
184573,Victor Lindelöf,Manchester United,2021-22,DF,27,426,0,0,2022-05-28,2022-06-15,22.0
186368,Valentino Lazaro,SL Benfica,2021-22,MF,26,115,0,0,2022-05-28,2022-05-31,6.0
186590,John Stones,Manchester City,2021-22,DF,28,637,0,0,2022-05-28,2022-06-15,28.0
