player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Lucas Vázquez,Real Madrid,2024-25,DF,33.0,2189,1,5,15,33,19,58,17
Lucien Agoume,Sevilla,2024-25,MF,22.0,2114,1,3,10,27,22,70,41
Luis Milla,Getafe,2024-25,MF,29.0,2875,1,4,31,70,21,61,24
Luis Pérez,Valladolid,2024-25,DF,29.0,2558,0,0,5,27,12,41,29
Luis Rioja,Valencia,2024-25,MF,30.0,2854,5,3,28,36,43,35,22
Luiz Lúcio Reis Júnior,Villarreal,2024-25,GK,23.0,1458,0,0,0,0,0,0,0
Luka Modrić,Real Madrid,2024-25,MF,38.0,1827,2,6,22,66,14,31,27
Luka Romero,Alavés,2024-25,FW,19.0,199,0,0,1,4,1,4,1
Luka Sučić,Real Sociedad,2024-25,MF,21.0,1792,1,1,43,25,25,25,15
Luken Beitia,Real Sociedad,2024-25,DF,20.0,8,0,0,0,0,0,1,0
Mamadou Sylla,Valladolid,2024-25,FW,30.0,1583,5,1,18,14,5,8,3
Manu Bueno,Sevilla,2024-25,MF,20.0,140,1,0,4,0,1,4,0
Manu Morlanes,Mallorca,2024-25,MF,25.0,1338,0,0,11,10,3,43,24
Manu Sánchez,Alavés,2024-25,DF,23.0,2634,1,0,12,16,8,83,30
Manuel Fuster,Las Palmas,2024-25,FW,26.0,1003,2,1,18,28,5,19,4
Marash Kumbulla,Espanyol,2024-25,DF,24.0,2972,3,0,16,1,4,51,34
Marc Bartra,Betis,2024-25,DF,33.0,2099,2,1,18,4,7,33,33
Marc Bernal,Barcelona,2024-25,MF,17.0,242,0,0,2,1,2,8,1
Marc Cardona,Las Palmas,2024-25,FW,29.0,132,0,0,4,0,1,4,0
Marc Casado,Barcelona,2024-25,MF,20.0,1611,1,3,14,9,4,44,22
Marc Domenech,Mallorca,2024-25,FW,18.0,303,0,0,8,5,1,4,0
Marc Roca,Betis,2024-25,MF,27.0,906,2,2,12,12,4,20,14
Marc-André ter Stegen,Barcelona,2024-25,GK,32.0,674,0,0,0,0,0,0,0
Marcos Alonso,Celta Vigo,2024-25,DF,33.0,2647,3,0,31,21,16,35,34
Marcos André,Valladolid,2024-25,FW,27.0,1188,1,2,22,9,17,10,3
Marcos Llorente,Atlético Madrid,2024-25,DF,29.0,2513,2,4,16,28,14,69,27
Marcão,Sevilla,2024-25,DF,28.0,552,0,0,0,0,2,10,7
Mario Maroto,Valladolid,2024-25,MF,20.0,64,0,1,1,1,1,0,2
Mario Martín,Valladolid,2024-25,MF,20.0,1748,0,1,28,12,19,62,21
Marko Dmitrović,Leganés,2024-25,GK,32.0,2880,0,0,0,1,1,1,0
Maroan Sannadi,Athletic Club,2024-25,FW,23.0,754,1,1,19,7,14,5,1
Martin Valjent,Mallorca,2024-25,DF,28.0,2763,3,0,12,4,6,30,18
Martín Tejón,Valencia,2024-25,MF,20.0,49,0,0,1,1,2,2,0
Martín Zubimendi,Real Sociedad,2024-25,MF,25.0,2962,2,1,24,19,19,73,44
Marvin,Las Palmas,2024-25,DF,24.0,1038,0,0,5,6,2,25,15
Mateo Flores,Betis,2024-25,MF,20.0,153,0,0,0,0,0,3,2
Mateo Mejía,Sevilla,2024-25,FW,21.0,11,0,0,0,0,0,0,0
Mateu Morey,Mallorca,2024-25,DF,24.0,741,0,0,3,4,9,22,15
Matija Nastasić,Leganés,2024-25,DF,31.0,2110,1,0,2,2,1,25,21
Mauro Arambarri,Getafe,2024-25,MF,28.0,2661,10,0,53,17,18,48,15
Max Aarons,Valencia,2024-25,DF,24.0,120,0,0,0,1,1,4,0
Maximiliano Caufriez,Valencia,2024-25,DF,27.0,90,0,0,0,0,0,1,1
Miguel,Leganés,2024-25,FW,24.0,1724,1,3,33,7,8,16,4
Miguel Gutiérrez,Girona,2024-25,DF,23.0,2458,1,5,28,41,29,37,16
Mihailo Ristić,Celta Vigo,2024-25,DF,28.0,429,0,1,2,4,2,7,2
Mika Mármol,Las Palmas,2024-25,DF,23.0,2399,0,1,10,16,7,61,38
Mikel Jauregizar,Athletic Club,2024-25,MF,20.0,2244,2,1,21,23,20,84,29
Mikel Oyarzabal,Real Sociedad,2024-25,FW,27.0,2250,9,3,39,15,9,25,4
Mikel Vesga,Athletic Club,2024-25,MF,31.0,988,0,0,5,12,7,22,15
Moi Gómez,Osasuna,2024-25,MF,30.0,796,0,0,6,11,14,13,6
Mouctar Diakhaby,Valencia,2024-25,DF,27.0,653,2,0,11,1,2,8,11
Moussa Diarra,Alavés,2024-25,DF,23.0,1866,0,0,1,3,7,40,21
Munir El Haddadi,Leganés,2024-25,FW,28.0,862,4,0,21,8,7,12,1
